id_building,egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y,geometry,path
"1","1011971",1919-1945,Residential,2483.1,vrai,2501120.61308893,1116693.5668684,420.14,"355",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,264407.6542266,0,121.8854466,0,"57544","2117288","1420368","696920",2705.66106166029,21930.1228646919,7009.86728115815,93376.5267469879,49.4795511640947,18,15.5,12,17,65,50,60,15,1994.4578313253,330.526682731918,929,1386.19678326899,1319.4642783913,20,135.62313253012,"1.0","['existing', 'existing']",Gas,Electricity,Central electrical boiler,II,0.0946438296841736,119.4,51935.6819277108,0.00202,3,10.63,87.3938365811649,185.16555349881,1319.4642783913,302778.643373494,0,Florissant,""
"2",1014572/1014571/1014570/1014569/2039895,<1919/1971-1980,Residential/Commercial,14163.9,vrai,2501375.2171865,1116533.10023611,428.840947689876,"365",vrai,false,0,Solar thermal installation for multiple buildings/Boiler for multiple buildings/Not documented,Not documented,0.314116874589644,1411865.0458842,35029.256496002,649.868072220353,74.3003040000043,"58814","4256207","2662500","1593707",6211.48298732024,137043.843329009,43805.461527207,803325.109421003,425.676208333383,18,15.5679579776756,12,17,65,50,60,15,11376.6265060241,2628.84018527098,24921,3582.64198442044,2628.8410028998,20,1262.0734939759,0.19041365725541692/0.25804333552199604/0.28693368351936965/0.18910045961917268/0.07550886408404464,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil/Other,Oil/Electricity/Other,Boiler/Central electrical boiler/Not documented,I/I/I/I/V,0.0897056871391581,119.435423506238,351208.15060241,0.00188288246881155,9.32042022324356,18.2809476898757,272.645043441503,272.646169298831,2628.8410028998,1022493.31807229,0,Florissant,""
"3",1014627/1014628,1991-2000/1946-1960,Residential,5012.7,vrai,2501341.02001449,1116727.70238356,433.5,"365",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,467878.1047962,0,215.6803362,0,"58815","2171296","1175611","995685",3476.55745993538,52264.2831380092,16706.0481422188,275228.289759036,145.84149485275,18,15.5,12,17,65,50,60,15,4026.26506024096,827.512016010171,6643.6,2514.00359189787,962.553868037502,20,399.750602409639,0.49870129870129865/0.5012987012987012,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil,Oil,Boiler,I/I,0.0852385588811317,120.3,117587.071084337,0.00177064935064935,7,25.36,130.986935556442,131.03127672397,962.553868037502,369651.395180723,0,Florissant,""
"4",1014561/1014562/1014564/1014563,1971-1980/1961-1970,Residential,16340.1,vrai,2501471.50056874,1116453.77541392,441.68,"365",vrai,false,0,Solar thermal installation for multiple buildings/Boiler for multiple buildings,Not documented,0,1783008.8522001,0,821.9233701,0,"58819","5936488","2650045","3286443",8964.73043996503,170367.987891397,54457.3777103382,897172.736746988,475.405392312211,18,15.5,12,17,65,50,60,15,13124.578313253,2098.98190558521,27463.2250874981,6865.73164469538,2098.99879526966,20,1303.08313253012,0.2571428571428572/0.22857142857142854/0.2857142857142857/0.22857142857142854,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil,Oil,Boiler,I/I/I/I,0.0996492144643071,120.3,383303.309638554,0.00207,8.82857142857143,30.62,261.059305192444,261.056867988683,2098.99879526966,1204967.53493976,0,Florissant,""
"5",1014641/1014642/1014643,1946-1960,Residential,11664.99,vrai,2501230.77419378,1116794.81995816,436.25,"365",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,1242121.80036114,0,572.58769914,0,"58789","4126418","2256855","1869563",6295.29261115464,121623.544230041,38876.4307695381,640480.229767642,339.385875684238,18,15.5,12,17,65,50,60,15,9369.46987951807,1437.40574547132,13366.7193441175,4455.55037861803,1839.74223253661,20,930.254509466437,0.33795742645300164/0.3673762257833054/0.2946663477636929,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil,Oil,Boiler,I/I/I,0.0969142088617708,120.3,273635.367831325,0.00202,8.70533365223631,26.51,191.298522414089,191.297664772151,1839.74223253661,860211.029638554,0,Florissant,""
"6",1014645/1014646/1014647/1014648,1946-1960,Residential,10184.43,vrai,0,0,0,"365",vrai,false,0,Boiler for multiple buildings,Not documented,0,1084467.49866498,0,499.91293098,0,"58790","3573022","1810303","1762719",5998.18964967205,106186.672475758,33942.102635517,559188.311901893,296.309872009734,18,15.5,12,17,65,50,60,15,8180.26506024096,0,20235.2,4400.70844192981,1597.48120774224,20,812.183459552496,0.26792073783216147/0.2638115240617296/0.23303807871427268/0.23522965939183638,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil,Oil,Boiler,I/I/I/I,0.097242228607679,120.3,238904.641084337,0.00202,8.53173226189389,27.01,187.292447318428,187.292447318428,1597.48120774224,751030.135180723,0,Florissant,""
"7",1014574/1014573/1014575,1981-1990,Residential,10129.56,vrai,2501335.95695082,1116598.22925753,441.09,"365",vrai,false,0,Condensation boiler for single building/Solar thermal installation for multiple buildings,Not documented,0,811638.450356158,0,374.14542816,0,"58798","3461622","1427824","2033798",5616.69640725946,105614.577354196,33759.2349471284,556175.608915663,294.713462325817,18,15.5,12,17,65,50,60,15,8136.19277108434,1138.01354249316,14956.8,4478.66994644024,1138.02646081922,20,807.807710843374,0.3214285714285714/0.35714285714285715/0.3214285714285714,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Gas/Oil,Solar (thermal)/Gas,Solar thermal installation/Boiler,I/I/I,0.0729255433019275,120.3,237617.509879518,0.00152,9.35714285714286,30.8,161.871073812927,161.871185979,1138.02646081922,746983.858313253,0,Florissant,""
"8",1014624/1014621/1014622/1014623/1014626,1991-2000/<1919/1981-1990,Residential,9720.36,vrai,2501372.21196284,1116691.93302769,424.62,"365",vrai,false,0,Not documented/Solar thermal installation for multiple buildings/Boiler for multiple buildings,Not documented,0,797901.841776359,0,367.81318836,0,"58800","4448332","2509739","1938593",6801.49760414478,101348.105261328,32395.4759151204,533707.993425129,282.808034174572,18,15.5,12,17,65,50,60,15,7807.51807228916,1701.49267061481,23281.126171526,4595.59890544747,2205.89869869731,20,775.175008605852,0.1381553769613471/0.1282051282051282/0.26636050516647536/0.2502870264064294/0.21699196326061998,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other/Gas/Oil,Oil/Gas,Boiler,I/I/I/I/I,0.0747093158691976,120.3,228018.565301205,0.00155717948717949,6.71756601607345,16.03,265.575145470226,261.793091268247,2205.89869869731,716808.234216867,0,Florissant,""
"9","1014625",<1919,Residential,1067.64,vrai,2501288.86797748,1116700.19144006,424.515401434324,"365",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,101866.61040612,0,46.95801012,0,"58801","892346","502453","389893",1406.43122596019,11131.6135514803,3558.17129263104,58620.0513253012,31.0623443582481,18,15.5,12,17,65,50,60,15,857.542168674699,363.087243999614,1338.9,914.598057496086,491.833168464102,20,85.141686746988,"1.0","['existing', 'existing', 'existing']",Gas,Oil,Boiler,I,0.0868389693266352,120.3,25044.5190361446,0.00181,4,13.0654014343243,102.474437215798,102.47504442409,491.833168464102,78730.9465060241,0,Florissant,""
"10",1014639/1014640/1014644,1946-1960,Residential,12568.95,vrai,2501264.69491641,1116742.0651102,436.61,"365",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,1338378.0699897,0,616.9594797,0,"58802","4201347","2311375","1889972",6267.46551288796,131048.568944349,41889.0984493577,690113.23489673,365.686048781988,18,15.5,12,17,65,50,60,15,10095.5421686747,1444.64997802124,14955.9,4428.02261907486,1839.44289381309,20,1002.34311531842,0.34162042175360713/0.31431742508324084/0.34406215316315203,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil,Oil/Solar (thermal),Boiler/Solar thermal installation,I/I/I,0.0969142088617708,120.3,294840.309036145,0.00202,9.34406215316315,26.0600000000001,191.301296839952,191.301377156904,1839.44289381309,926871.726506024,0,Florissant,""
