id_building,egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y,geometry,path
"28","1032587",1981-1990,Residential,315.27,vrai,2501374.26430729,1114430.83102315,420.147297911176,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,25261.2407887199,0,11.64481272,0,"59361","488152","321132","167020",546.313655397267,2784.38638621631,890.016857053945,11855.671373494,6.28223514780079,18,15.5,12,17,65,50,60,15,253.228915662651,191.403691674912,274.3001455755,274.290670192549,272.022985204718,20,17.2195662650602,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682846,119.399999999998,6594.08096385542,0.00152,3,6.19729791117629,70.5686600293569,70.5671310754343,272.022985204718,38442.681686747,0,Vessy,""
"29","1032591",1981-1990,Residential,304.11,vrai,2501421.16278473,1114403.55101179,420.796893303394,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,24367.0375749599,0,11.23260696,0,"59377","402570","253099","149471",463.353913524934,2685.82403626277,858.511835565635,11436.0015903614,6.0598551425689,18,15.5,12,17,65,50,60,15,244.265060240964,218.745065097979,395.053300041164,239.330237063184,224.023676461749,20,16.6100240963855,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0714525180380382,119.399999999998,6360.6621686747,0.00152,3,5.18961785442923,88.5960956090415,58.5894424515121,224.023676461749,37081.8787951807,0,Vessy,""
"30","1032589",1981-1990,Residential,193.44,vrai,2501396.15527114,1114419.7316,420.128054249225,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,15499.52237184,0,7.14489984,0,"59378","383657","248605","135052",452.816264899931,1708.41406589014,546.087039139895,7274.27624096385,3.8545867573527,18,15.5,12,17,65,50,60,15,155.373493975904,154.796192571322,234.937716186396,234.925575827632,217.890689072298,20,10.5653975903614,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682807,119.399999999997,4045.92578313253,0.00152,2,6.15805424922513,55.1289151958566,55.1269437356725,217.890689072298,23587.2501204819,0,Vessy,""
"31","1032563",1981-1990,Residential,329.22,vrai,2501397.58804982,1114453.28994623,419.984236683621,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,26378.9948059199,0,12.16006992,0,"59379","387531","252767","134764",423.54883090831,2907.58932365824,929.398133914333,12380.2586024096,6.56021015434065,18,15.5,12,17,65,50,60,15,264.433734939759,150.587510300219,322,211.340133821033,212.208697087277,20,17.9814939759036,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682848,119.399999999998,6885.85445783133,0.00152,3,6.04423668362148,53.2772051112472,53.2787829619463,212.208697087277,40143.6853012048,0,Vessy,""
"32","1032564",1981-1990,Residential,212.04,vrai,2501407.26354495,1114481.0655,420.81,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,16989.86106144,0,7.83190944,0,"59380","417822","249444","168378",491.067236954666,1872.68464914605,598.595408287078,7973.72587951807,4.22522009940584,18,15.5,12,17,65,50,60,15,170.313253012048,153.605665009785,389.5,273.944296242453,217.122940712213,20,11.5813012048193,"1.0","['existing', 'existing']",Gas,Oil,Boiler,II,0.0712171391682815,119.399999999997,4434.95710843373,0.00152,2,7.06,55.1718552653807,55.1728643686404,217.122940712213,25855.254939759,0,Vessy,""
"33","1032592",1981-1990,Residential,102.3,vrai,2501440.74217142,1114387.85114267,421.01364200681,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,8196.86279279998,0,3.7785528,0,"59396","426507","267612","158895",493.990002063416,903.488207936216,288.796030318697,3846.97301204819,2.03848338129229,18,15.5,12,17,65,50,60,15,82.1686746987952,159.341230858437,271.633795424775,271.621285900307,222.368716163109,20,5.58746987951807,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0714525180380254,119.399999999994,2139.67228915663,0.00152,1,6.7836420068096,58.4742222217133,58.4723781496859,222.368716163109,12474.0265060241,0,Vessy,""
"34","1032586",1981-1990,Residential,318.06,vrai,2501431.1327459,1114435.41439664,421.212876488413,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,25484.7915921599,0,11.74786416,0,"59397","398363","232195","166168",467.319388250515,2809.0269737047,897.893112426023,11960.5888192771,6.33783014910876,18,15.5,12,17,65,50,60,15,255.469879518072,145.795847462741,265.847139096893,265.845212454219,201.474175796296,20,17.3719518072289,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682846,119.399999999998,6652.4356626506,0.00152,3,6.83287648841309,52.5031615799391,52.5028796133796,201.474175796296,38782.8824096386,0,Vessy,""
"35","1032584",1981-1990,Residential,368.28,vrai,2501440.28593791,1114456.9636326,420.220281604114,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,29508.7060540799,0,13.60279008,0,"59398","480612","317865","162747",539.981350438298,3252.55754849564,1039.66570912342,13849.1028433735,7.33854017265225,18,15.5,12,17,65,50,60,15,295.807228915663,198.746946831907,462.8,269.434207155442,270.547143282856,20,20.1148915662651,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0714525180380393,119.399999999998,7702.82024096386,0.00152,3,6.42028160411394,72.0830817974463,73.1370212289305,270.547143282856,44906.4954216867,0,Vessy,""
"36","1032565",1981-1990,Residential,276.21,vrai,2501423.02678642,1114506.13104221,419.795518897425,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,22131.5295405599,0,10.20209256,0,"59399","377098","248793","128305",432.530428561786,2439.41816137892,779.74928184486,10386.8271325301,5.50390512948919,18,15.5,12,17,65,50,60,15,221.855421686747,151.857312129633,323.6,221.124751888048,211.405676673738,20,15.0861686746988,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682837,119.399999999998,5777.11518072289,0.00152,3,6.06551889742457,53.3499285746431,53.3502310674072,211.405676673738,33679.8715662651,0,Vessy,""
"37","1032594",1981-1990,Residential,348.75,vrai,2501479.70615491,1114360.832,420.224458996816,"370",vrai,false,0,Solar thermal installation for multiple buildings,Not documented,0,27943.8504299999,0,12.88143,0,"59411","383256","253163","130093",452.809064621738,3080.07343607694,984.531921518875,13114.6807228916,6.94937516349645,18,15.5,12,17,65,50,60,15,280.120481927711,158.023145586996,223.83407698366,223.826879415267,228.982185206471,20,19.0481927710843,"1.0","['existing', 'existing']",Oil,Oil,Boiler,II,0.0712171391682852,119.399999999998,7294.33734939759,0.00152,3,5.88445899681642,56.5401191783979,56.5388960296944,228.982185206471,42525.0903614458,0,Vessy,""
